starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 05 21:22:53 2021	1625516573	0	1124	1124	1123
Mon Jul 05 21:22:44 2021	1625516564	4	1120	1124	1119
Mon Jul 05 21:22:51 2021	1625516571	0	1124	1124	1124
Mon Jul 05 21:22:52 2021	1625516572	0	1125	1125	1124
Mon Jul 05 21:22:53 2021	1625516573	0	1125	1125	1124
Mon Jul 05 21:22:53 2021	1625516573	0	1125	1125	1125
Mon Jul 05 21:22:50 2021	1625516570	0	1125	1126	1125
Mon Jul 05 21:22:53 2021	1625516573	0	1126	1126	1125
Mon Jul 05 21:22:46 2021	1625516566	0	1126	1126	1126
Mon Jul 05 21:22:51 2021	1625516571	0	1126	1126	1126
Mon Jul 05 21:22:49 2021	1625516569	0	1126	1127	1126
Mon Jul 05 21:22:45 2021	1625516565	0	1127	1127	1126
Mon Jul 05 21:22:50 2021	1625516570	0	1127	1127	1126
Mon Jul 05 21:22:45 2021	1625516565	0	1127	1127	1125
Mon Jul 05 21:22:50 2021	1625516570	0	1127	1127	1126
Mon Jul 05 21:23:01 2021	1625516581	0	1127	1128	1127
Mon Jul 05 21:23:09 2021	1625516589	0	1127	1128	1122
Mon Jul 05 21:22:50 2021	1625516570	0	1128	1128	1127
Mon Jul 05 21:22:47 2021	1625516567	0	1128	1128	1128
Mon Jul 05 21:22:50 2021	1625516570	0	1128	1129	1128
Mon Jul 05 21:22:46 2021	1625516566	0	1128	1129	1128
Mon Jul 05 21:22:46 2021	1625516566	0	1129	1129	1128
Mon Jul 05 21:22:53 2021	1625516573	0	1129	1129	1128
Mon Jul 05 21:22:50 2021	1625516570	0	1129	1129	1128
Mon Jul 05 21:22:52 2021	1625516572	0	1129	1129	1129
Mon Jul 05 21:22:56 2021	1625516576	0	1129	1129	1129
Mon Jul 05 21:22:52 2021	1625516572	0	1130	1130	1129
Mon Jul 05 21:22:49 2021	1625516569	1	1130	1130	1129
Mon Jul 05 21:22:45 2021	1625516565	0	1130	1130	1130
Mon Jul 05 21:22:55 2021	1625516575	0	1131	1131	1130
Mon Jul 05 21:23:00 2021	1625516580	0	1131	1131	1130
Mon Jul 05 21:23:04 2021	1625516584	0	1131	1131	1131
Mon Jul 05 21:22:51 2021	1625516571	0	1131	1131	1131
Mon Jul 05 21:22:51 2021	1625516571	0	1131	1132	1131
Mon Jul 05 21:22:52 2021	1625516572	0	1132	1132	1131
Mon Jul 05 21:22:49 2021	1625516569	0	1132	1132	1131
Mon Jul 05 21:23:00 2021	1625516580	0	1132	1132	1132
Mon Jul 05 21:23:09 2021	1625516589	0	1132	1132	1132
Mon Jul 05 21:22:46 2021	1625516566	0	1132	1132	1132
Mon Jul 05 21:22:46 2021	1625516566	0	1132	1133	1132
Mon Jul 05 21:22:50 2021	1625516570	0	1133	1133	1132
Mon Jul 05 21:22:58 2021	1625516578	0	1133	1133	1132
Mon Jul 05 21:22:50 2021	1625516570	0	1133	1133	1132
Mon Jul 05 21:22:52 2021	1625516572	0	1133	1133	1133
Mon Jul 05 21:22:47 2021	1625516567	0	1133	1133	1133
Mon Jul 05 21:22:55 2021	1625516575	0	1133	1134	1133
Mon Jul 05 21:22:49 2021	1625516569	0	1134	1134	1133
Mon Jul 05 21:23:09 2021	1625516589	0	1134	1134	1133
Mon Jul 05 21:22:50 2021	1625516570	0	1134	1134	1133
Mon Jul 05 21:23:04 2021	1625516584	0	1134	1134	1133
Mon Jul 05 21:22:47 2021	1625516567	0	1134	1134	1134
Mon Jul 05 21:22:46 2021	1625516566	0	1134	1134	1133
Mon Jul 05 21:23:09 2021	1625516589	0	1134	1134	1134
Mon Jul 05 21:22:52 2021	1625516572	0	1134	1134	1134
Mon Jul 05 21:22:46 2021	1625516566	0	1135	1135	1131
Mon Jul 05 21:22:55 2021	1625516575	0	1135	1135	1134
Mon Jul 05 21:22:55 2021	1625516575	0	1135	1135	1135
Mon Jul 05 21:22:55 2021	1625516575	0	1135	1136	1135
Mon Jul 05 21:22:52 2021	1625516572	0	1136	1136	1136
Mon Jul 05 21:22:59 2021	1625516579	0	1137	1137	1136
Mon Jul 05 21:22:45 2021	1625516565	0	1137	1137	1136
Mon Jul 05 21:22:49 2021	1625516569	0	1137	1137	1136
Mon Jul 05 21:22:51 2021	1625516571	0	1137	1137	1137
Mon Jul 05 21:22:52 2021	1625516572	0	1137	1138	1137
Mon Jul 05 21:23:04 2021	1625516584	0	1137	1138	1137
Mon Jul 05 21:22:45 2021	1625516565	0	1138	1138	1137
Mon Jul 05 21:23:00 2021	1625516580	0	1138	1138	1137
Mon Jul 05 21:22:53 2021	1625516573	0	1138	1138	1138
Mon Jul 05 21:22:44 2021	1625516564	3	1136	1139	1132
Mon Jul 05 21:22:56 2021	1625516576	0	1140	1140	1139
Mon Jul 05 21:22:45 2021	1625516565	0	1140	1140	1139
Mon Jul 05 21:22:53 2021	1625516573	0	1140	1140	1139
Mon Jul 05 21:23:01 2021	1625516581	0	1140	1141	1140
Mon Jul 05 21:22:52 2021	1625516572	0	1141	1141	1140
Mon Jul 05 21:22:59 2021	1625516579	0	1141	1141	1140
Mon Jul 05 21:22:44 2021	1625516564	4	1137	1141	1136
