starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 05 21:20:47 2021	1625516447	0	1156	1156	1155
Mon Jul 05 21:21:02 2021	1625516462	0	1156	1156	1155
Mon Jul 05 21:20:54 2021	1625516454	0	1156	1156	1156
Mon Jul 05 21:21:01 2021	1625516461	0	1156	1156	1156
Mon Jul 05 21:20:55 2021	1625516455	0	1156	1156	1156
Mon Jul 05 21:20:45 2021	1625516445	0	1156	1156	1156
Mon Jul 05 21:20:54 2021	1625516454	0	1156	1157	1156
Mon Jul 05 21:20:47 2021	1625516447	0	1156	1157	1156
Mon Jul 05 21:21:01 2021	1625516461	0	1157	1157	1156
Mon Jul 05 21:20:45 2021	1625516445	0	1157	1157	1156
Mon Jul 05 21:20:57 2021	1625516457	0	1157	1157	1156
Mon Jul 05 21:20:54 2021	1625516454	0	1157	1157	1156
Mon Jul 05 21:20:54 2021	1625516454	0	1157	1157	1156
Mon Jul 05 21:20:53 2021	1625516453	0	1157	1157	1157
Mon Jul 05 21:20:48 2021	1625516448	0	1157	1157	1157
Mon Jul 05 21:20:55 2021	1625516455	0	1157	1157	1157
Mon Jul 05 21:20:48 2021	1625516448	0	1158	1158	1157
Mon Jul 05 21:21:09 2021	1625516469	0	1159	1159	1158
Mon Jul 05 21:20:58 2021	1625516458	0	1160	1160	1159
Mon Jul 05 21:20:55 2021	1625516455	0	1160	1160	1160
Mon Jul 05 21:20:48 2021	1625516448	0	1160	1160	1159
Mon Jul 05 21:20:52 2021	1625516452	0	1161	1161	1161
Mon Jul 05 21:20:53 2021	1625516453	1	1161	1162	1160
Mon Jul 05 21:20:59 2021	1625516459	0	1161	1162	1161
Mon Jul 05 21:20:55 2021	1625516455	0	1162	1162	1161
Mon Jul 05 21:20:58 2021	1625516458	0	1162	1162	1161
Mon Jul 05 21:20:54 2021	1625516454	0	1162	1162	1162
Mon Jul 05 21:20:54 2021	1625516454	0	1163	1163	1162
Mon Jul 05 21:20:57 2021	1625516457	0	1163	1163	1162
Mon Jul 05 21:21:09 2021	1625516469	0	1163	1163	1163
Mon Jul 05 21:20:48 2021	1625516448	0	1164	1164	1164
Mon Jul 05 21:21:01 2021	1625516461	0	1164	1164	1163
Mon Jul 05 21:20:48 2021	1625516448	0	1164	1164	1164
Mon Jul 05 21:20:59 2021	1625516459	0	1164	1164	1164
Mon Jul 05 21:20:55 2021	1625516455	0	1165	1165	1164
Mon Jul 05 21:20:50 2021	1625516450	0	1165	1165	1165
Mon Jul 05 21:20:56 2021	1625516456	0	1165	1166	1165
Mon Jul 05 21:20:48 2021	1625516448	0	1165	1166	1165
Mon Jul 05 21:20:59 2021	1625516459	0	1166	1166	1165
Mon Jul 05 21:20:59 2021	1625516459	0	1166	1166	1165
Mon Jul 05 21:20:45 2021	1625516445	2	1164	1166	1163
Mon Jul 05 21:20:52 2021	1625516452	0	1166	1167	1166
Mon Jul 05 21:20:55 2021	1625516455	0	1167	1167	1166
Mon Jul 05 21:20:47 2021	1625516447	0	1167	1167	1167
Mon Jul 05 21:20:57 2021	1625516457	0	1167	1167	1167
Mon Jul 05 21:21:02 2021	1625516462	0	1168	1168	1167
Mon Jul 05 21:20:58 2021	1625516458	0	1168	1168	1167
Mon Jul 05 21:20:56 2021	1625516456	0	1168	1168	1168
Mon Jul 05 21:20:56 2021	1625516456	0	1169	1169	1168
Mon Jul 05 21:21:02 2021	1625516462	0	1169	1169	1169
Mon Jul 05 21:20:48 2021	1625516448	0	1170	1170	1169
Mon Jul 05 21:20:47 2021	1625516447	0	1170	1170	1169
Mon Jul 05 21:20:58 2021	1625516458	0	1170	1170	1169
Mon Jul 05 21:20:57 2021	1625516457	0	1170	1171	1170
Mon Jul 05 21:20:45 2021	1625516445	0	1171	1171	1170
Mon Jul 05 21:21:01 2021	1625516461	0	1171	1172	1171
Mon Jul 05 21:20:53 2021	1625516453	0	1172	1172	1171
Mon Jul 05 21:20:46 2021	1625516446	0	1171	1172	1170
Mon Jul 05 21:20:54 2021	1625516454	0	1172	1172	1172
Mon Jul 05 21:20:47 2021	1625516447	0	1172	1172	1172
Mon Jul 05 21:20:49 2021	1625516449	0	1172	1173	1172
Mon Jul 05 21:20:52 2021	1625516452	0	1173	1173	1172
Mon Jul 05 21:20:46 2021	1625516446	0	1173	1173	1172
Mon Jul 05 21:20:55 2021	1625516455	0	1173	1173	1172
Mon Jul 05 21:20:55 2021	1625516455	0	1174	1174	1173
Mon Jul 05 21:21:02 2021	1625516462	0	1174	1174	1173
Mon Jul 05 21:21:01 2021	1625516461	0	1174	1174	1174
Mon Jul 05 21:20:55 2021	1625516455	0	1175	1175	1174
Mon Jul 05 21:20:52 2021	1625516452	0	1175	1175	1175
Mon Jul 05 21:21:02 2021	1625516462	0	1176	1176	1175
Mon Jul 05 21:20:55 2021	1625516455	0	1176	1176	1175
Mon Jul 05 21:20:55 2021	1625516455	0	1176	1176	1175
Mon Jul 05 21:20:47 2021	1625516447	0	1176	1176	1176
Mon Jul 05 21:20:55 2021	1625516455	0	1176	1177	1176
Mon Jul 05 21:20:52 2021	1625516452	0	1177	1177	1177
Mon Jul 05 21:20:58 2021	1625516458	0	1177	1177	1177
Mon Jul 05 21:21:09 2021	1625516469	0	1178	1178	1177
Mon Jul 05 21:20:46 2021	1625516446	0	1178	1178	1177
Mon Jul 05 21:20:48 2021	1625516448	0	1178	1178	1177
Mon Jul 05 21:21:01 2021	1625516461	0	1178	1178	1177
Mon Jul 05 21:21:01 2021	1625516461	0	1179	1179	1178
Mon Jul 05 21:20:56 2021	1625516456	0	1179	1179	1178
Mon Jul 05 21:20:47 2021	1625516447	0	1179	1179	1178
Mon Jul 05 21:20:59 2021	1625516459	0	1179	1179	1179
Mon Jul 05 21:20:59 2021	1625516459	0	1179	1179	1179
Mon Jul 05 21:20:47 2021	1625516447	0	1180	1180	1179
Mon Jul 05 21:20:55 2021	1625516455	0	1180	1180	1179
Mon Jul 05 21:20:50 2021	1625516450	1	1180	1180	1179
Mon Jul 05 21:20:49 2021	1625516449	0	1181	1181	1180
Mon Jul 05 21:20:49 2021	1625516449	0	1181	1181	1181
Mon Jul 05 21:20:48 2021	1625516448	0	1181	1181	1181
Mon Jul 05 21:20:58 2021	1625516458	0	1181	1181	1181
Mon Jul 05 21:20:59 2021	1625516459	0	1182	1182	1181
Mon Jul 05 21:20:50 2021	1625516450	0	1182	1182	1181
Mon Jul 05 21:20:47 2021	1625516447	0	1182	1182	1182
Mon Jul 05 21:20:47 2021	1625516447	0	1182	1182	1182
Mon Jul 05 21:20:52 2021	1625516452	0	1183	1183	1182
Mon Jul 05 21:20:47 2021	1625516447	0	1183	1184	1183
Mon Jul 05 21:20:55 2021	1625516455	0	1183	1184	1183
Mon Jul 05 21:21:01 2021	1625516461	0	1184	1184	1183
Mon Jul 05 21:21:01 2021	1625516461	0	1184	1184	1184
Mon Jul 05 21:20:59 2021	1625516459	0	1184	1185	1184
Mon Jul 05 21:21:02 2021	1625516462	0	1185	1185	1184
Mon Jul 05 21:20:52 2021	1625516452	0	1185	1185	1184
Mon Jul 05 21:20:53 2021	1625516453	0	1185	1185	1185
Mon Jul 05 21:21:09 2021	1625516469	0	1185	1185	1185
Mon Jul 05 21:20:53 2021	1625516453	0	1186	1186	1185
Mon Jul 05 21:21:01 2021	1625516461	0	1186	1186	1185
Mon Jul 05 21:20:54 2021	1625516454	0	1186	1186	1185
Mon Jul 05 21:20:49 2021	1625516449	0	1186	1186	1185
Mon Jul 05 21:20:59 2021	1625516459	0	1186	1186	1185
Mon Jul 05 21:20:47 2021	1625516447	0	1186	1186	1186
Mon Jul 05 21:20:54 2021	1625516454	0	1186	1186	1186
Mon Jul 05 21:21:02 2021	1625516462	0	1186	1186	1186
Mon Jul 05 21:21:02 2021	1625516462	0	1186	1186	1185
Mon Jul 05 21:20:47 2021	1625516447	0	1186	1186	1186
Mon Jul 05 21:20:46 2021	1625516446	1	1186	1186	1185
Mon Jul 05 21:20:49 2021	1625516449	0	1186	1186	1186
Mon Jul 05 21:20:51 2021	1625516451	0	1186	1187	1186
Mon Jul 05 21:20:49 2021	1625516449	0	1187	1187	1186
Mon Jul 05 21:20:59 2021	1625516459	0	1187	1187	1186
Mon Jul 05 21:20:55 2021	1625516455	0	1187	1187	1187
Mon Jul 05 21:20:45 2021	1625516445	0	1188	1188	1187
Mon Jul 05 21:20:55 2021	1625516455	0	1188	1188	1188
Mon Jul 05 21:21:09 2021	1625516469	0	1188	1188	1187
Mon Jul 05 21:20:55 2021	1625516455	0	1189	1189	1188
Mon Jul 05 21:20:55 2021	1625516455	0	1189	1189	1188
Mon Jul 05 21:21:02 2021	1625516462	0	1189	1189	1189
Mon Jul 05 21:20:55 2021	1625516455	0	1189	1189	1188
Mon Jul 05 21:20:55 2021	1625516455	0	1189	1189	1188
Mon Jul 05 21:20:50 2021	1625516450	0	1189	1189	1189
Mon Jul 05 21:20:57 2021	1625516457	0	1189	1189	1188
Mon Jul 05 21:21:02 2021	1625516462	0	1190	1190	1187
Mon Jul 05 21:20:59 2021	1625516459	0	1190	1190	1190
Mon Jul 05 21:20:54 2021	1625516454	0	1190	1190	1190
Mon Jul 05 21:20:54 2021	1625516454	0	1190	1190	1190
Mon Jul 05 21:21:09 2021	1625516469	0	1190	1191	1190
Mon Jul 05 21:20:48 2021	1625516448	0	1191	1191	1190
Mon Jul 05 21:20:59 2021	1625516459	0	1191	1191	1191
Mon Jul 05 21:20:53 2021	1625516453	0	1191	1191	1190
Mon Jul 05 21:21:02 2021	1625516462	0	1191	1191	1190
Mon Jul 05 21:20:55 2021	1625516455	0	1191	1191	1191
Mon Jul 05 21:20:53 2021	1625516453	0	1191	1191	1191
Mon Jul 05 21:20:55 2021	1625516455	0	1191	1192	1191
Mon Jul 05 21:20:50 2021	1625516450	0	1191	1192	1191
Mon Jul 05 21:20:59 2021	1625516459	0	1192	1192	1191
Mon Jul 05 21:20:48 2021	1625516448	0	1192	1192	1191
Mon Jul 05 21:20:45 2021	1625516445	0	1193	1193	1192
Mon Jul 05 21:20:59 2021	1625516459	0	1193	1194	1193
Mon Jul 05 21:20:51 2021	1625516451	0	1194	1194	1193
Mon Jul 05 21:20:47 2021	1625516447	0	1194	1195	1194
Mon Jul 05 21:20:52 2021	1625516452	0	1195	1195	1194
Mon Jul 05 21:20:54 2021	1625516454	0	1195	1195	1194
Mon Jul 05 21:21:02 2021	1625516462	0	1195	1195	1194
Mon Jul 05 21:20:56 2021	1625516456	0	1195	1195	1194
Mon Jul 05 21:21:02 2021	1625516462	0	1195	1195	1195
Mon Jul 05 21:20:57 2021	1625516457	0	1196	1196	1196
Mon Jul 05 21:20:53 2021	1625516453	0	1196	1196	1196
Mon Jul 05 21:20:47 2021	1625516447	0	1196	1196	1196
Mon Jul 05 21:20:58 2021	1625516458	0	1196	1196	1196
Mon Jul 05 21:20:54 2021	1625516454	0	1197	1197	1196
Mon Jul 05 21:20:58 2021	1625516458	0	1197	1197	1197
Mon Jul 05 21:20:58 2021	1625516458	0	1197	1197	1197
Mon Jul 05 21:20:51 2021	1625516451	0	1198	1198	1197
Mon Jul 05 21:20:47 2021	1625516447	0	1198	1198	1198
Mon Jul 05 21:21:02 2021	1625516462	0	1198	1198	1197
Mon Jul 05 21:21:09 2021	1625516469	0	1198	1198	1196
Mon Jul 05 21:21:09 2021	1625516469	0	1199	1199	1198
Mon Jul 05 21:20:54 2021	1625516454	0	1199	1199	1198
Mon Jul 05 21:21:08 2021	1625516468	0	1200	1200	1199
Mon Jul 05 21:21:02 2021	1625516462	0	1200	1200	1200
Mon Jul 05 21:20:57 2021	1625516457	0	1200	1200	1200
Mon Jul 05 21:20:49 2021	1625516449	0	1200	1200	1200
